Modelo,CVE ID,Second Description,AccessVector,Attack Complexity,Confidentiality Impact,Integrity Impact,Availability Impact,Base Score,Base Severity,Exploitability Score,Impact Score
Xiaomi Mi Pad 4,CVE-2019-15469,"El dispositivo Xiaomi Mi Pad 4 Android con una huella digital de compilación de Xiaomi/clover/clover:8.1.0/OPM1.171019.019/V9.6.26.0.ODJCNFD:user/release-keys, contiene una aplicación preinstalada con un nombre de paquete de aplicación com.qualcomm.qti.callenhancement (versionCode=27, versionName=8.1.0), que permite a otras aplicaciones preinstaladas realizar una grabación de audio del micrófono por medio de un componente de aplicación accesible. Esta capacidad puede ser accedida mediante cualquier aplicación preinstalada en el dispositivo que pueda obtener permisos signatureOrSystem que son requeridos mediante otras aplicaciones preinstaladas que exportaron sus capacidades hacia otra aplicación preinstalada. Esta aplicación permite a una aplicación de terceros utilizar su interfaz abierta para grabar llamadas telefónicas en un almacenamiento externo.",LOCAL,LOW,PARTIAL,NONE,NONE,2.1,LOW,,
Dell Latitude 7202,CVE-2020-5348,"Dell Latitude 7202 Rugged Tablet BIOS versiones anteriores a A28, contienen una vulnerabilidad de tipo UAF en EFI_BOOT_SERVICES en el modo de administración de sistema. Un atacante no autenticado local puede explotar esta vulnerabilidad al sobrescribir la estructura de EFI_BOOT_SERVICES para ejecutar código arbitrario en modo de administración de sistema.",LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,,
Playstation 3,CVE-2007-1728,La característica de Jugar de forma remota en in Sony Playstation 3 (PS3) 1.60 y de la Playstation Portable (PSP) 3.10 OE-A permie a atacantes remotos provocar denegación de servicio a través de la inundación de paquetes UDP.,NETWORK,LOW,NONE,NONE,COMPLETE,7.8,HIGH,,
Playstation 3,CVE-2009-2541,"El navegador web en Sony PLAYSTATION 3 (PS3) permite a atacantes remotos provocar una denegación de servicio (consumo de memoria y colgado de la consola) mediante un valor entero grande en la propiedad ""length"" de un objeto ""Select"", siendo un asunto relacionado con CVE-2009-1692.",NETWORK,LOW,NONE,NONE,COMPLETE,7.8,HIGH,,
Playstation 3,CVE-2017-17010,Una vulnerabilidad de ruta de búsqueda no fiable en Content Manager Assistant para PlayStation en sus versiones 3.55.7671.0901 y anteriores permite que un atacante consiga privilegios utilizando un archivo DLL troyano en un directorio no especificado.,NETWORK,MEDIUM,PARTIAL,PARTIAL,PARTIAL,6.8,MEDIUM,,
Microsoft Xbox 360,CVE-2007-1220,"El Hypervisor en Microsoft Xbox 360 kernel 4532 y 4548 no verifica correctamente los parámetros pasados al despachador del syscall, que permite que los atacantes con acceso físico evitar requisitos la firma de código y que ejecuten código de su elección.",LOCAL,HIGH,COMPLETE,COMPLETE,COMPLETE,6.2,MEDIUM,,
Microsoft Xbox 360,CVE-2007-1221,"El Hypervisor del kernel de Microsoft Xbox 360 4532 y 4548 permite a atacantes con acceso físico forzar la ejecución  de la llamada al sistema del hypervisor con un conjunto de registros, que evita la intencionada protección de código.",LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,,
HP OfficeJet Pro,CVE-2013-4845,Cross-site scripting (XSS) en HP Officejet Pro 8500 (aka A909) impresoras All-in-One permite a atacantes remotos inyectar secuencias de comandos web o HTML a través de vectores no especificados.,NETWORK,MEDIUM,NONE,PARTIAL,NONE,4.3,MEDIUM,,
HP OfficeJet Pro,CVE-2017-2741,"Se ha identificado una potencial vulnerabilidad de seguridad en HP PageWide Printers y HP OfficeJet Pro Printers, con firmware en versiones anteriores a 1708D. Esta vulnerabilidad podría ser explotada para ejecutar código arbitrario.",NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,10.0,HIGH,,
HP OfficeJet Pro,CVE-2019-6332,"Se ha identificado una potencial vulnerabilidad de seguridad con determinadas impresoras HP InkJet. La vulnerabilidad podría ser explotada para permitir un ataque de tipo cross-site scripting (XSS). Los productos y versiones afectadas incluyen: HP DeskJet 2600 All-in-One Printer series números de modelo 4UJ28B, V1N01A - V1N08A, Y5H60A - Y5H80A; HP DeskJet Ink Advantage 2600 All-in-One Printer series números de modelo V1N02A - V1N02B, Y5Z00A - Y5Z04B; HP DeskJet Ink Advantage 5000 All-in-One Printer series números de modelo M2U86A - M2U89B; HP DeskJet Ink Advantage 5200 All-in-One Printer series números de modelo M2U76A - M2U78B; HP ENVY 5000 All-in-One Printer series números de modelo M2U85A - M2U85B, M2U91A - M2U94B, Z4A54A - Z4A74A; HP ENVY Photo 6200 All-in-One Printer series números de modelo K7G18A-K7G26B, K7S21B, Y0K13D - Y0K15A; HP ENVY Photo 7100 All-in-One Printer series números de modelo 3XD89A, K7G93A-K7G99A, Z3M37A - Z3M52A; HP ENVY Photo 7800 All-in-One Printer series números de modelo K7R96A, K7S00A - K7S10D, Y0G42D - Y0G52B; HP Ink Tank Wireless 410 series números de modelo Z4B53A - Z4B55A, Z6Z95A - Z6Z99A, 4DX94A - 4DX95A, 4YF79A, Z7A01A; HP OfficeJet 5200 All-in-One Printer series números de modelo M2U75A, M2U81A-M2U84B, Z4B12A - Z4B14A, Z4B27A - Z4B29A; HP Smart Tank Wireless 450 series números de modelo Z4B56A, Z6Z96A - Z6Z98A.",NETWORK,MEDIUM,NONE,PARTIAL,NONE,3.5,LOW,,
